info,info.1,Dataset_ID,Project_ID,PMID,Publication_DOI,Data_Source,Data_Source_Link,Technology_Platform,Spatial_Resolution_μm,Species,Tissue/Organ/Cell_Line,Disease_State,Data_Size,Data_Status,Local_Path,File_name,Notes,Record_Type,Merged_From_IDs,Gene_Panel_Size,Unique_Genes_Count,Gene_Coverage,Estimated_Cell_Count,Total_Transcripts,Mean_Transcripts_Per_Cell,Spatial_X_Span_px,Spatial_Y_Span_px,Tissue_Area_mm2,Transcript_Density_mm2,SCRIN_Standard_Path
MERSCOPE Homo sapiens Breast 数据集 (Cancer),MERSCOPE Homo sapiens Breast dataset (Cancer) - HumanBreastCancerPatient1,10,10,-,-,Vizgen,https://vizgen.com/data-release-program/,MERFISH,Subcellular,Homo sapiens,Breast,Cancer,TBD,1,/data3/yangxr002/MERFISH/MERFISH_P010/,D010_HumanBreastCancerPatient1,,Standard,,,,,,,,,,,,
MERSCOPE Homo sapiens Colon 数据集 (Cancer),MERSCOPE Homo sapiens Colon dataset (Cancer) - HumanColonCancerPatient1,11,11,-,-,Vizgen,https://vizgen.com/data-release-program/,MERFISH,Subcellular,Homo sapiens,Colon,Cancer,TBD,1,/data3/yangxr002/MERFISH/MERFISH_P011/,D011_HumanColonCancerPatient1,,Standard,,,,,,,,,,,,
MERSCOPE Homo sapiens Colon 数据集 (Cancer),MERSCOPE Homo sapiens Colon dataset (Cancer) - HumanColonCancerPatient2,12,11,-,-,Vizgen,https://vizgen.com/data-release-program/,MERFISH,Subcellular,Homo sapiens,Colon,Cancer,TBD,1,/data3/yangxr002/MERFISH/MERFISH_P011/,D012_HumanColonCancerPatient2,,Standard,,,,,,,,,,,,
MERSCOPE Homo sapiens Liver 数据集 (Cancer),MERSCOPE Homo sapiens Liver dataset (Cancer) - HumanLiverCancerPatient1,13,12,-,-,Vizgen,https://vizgen.com/data-release-program/,MERFISH,Subcellular,Homo sapiens,Liver,Cancer,TBD,1,/data3/yangxr002/MERFISH/MERFISH_P012/,D013_HumanLiverCancerPatient1,,Standard,,,,,,,,,,,,
MERSCOPE Homo sapiens Liver 数据集 (Cancer),MERSCOPE Homo sapiens Liver dataset (Cancer) - HumanLiverCancerPatient2,14,12,-,-,Vizgen,https://vizgen.com/data-release-program/,MERFISH,Subcellular,Homo sapiens,Liver,Cancer,TBD,1,/data3/yangxr002/MERFISH/MERFISH_P012/,D014_HumanLiverCancerPatient2,,Standard,,,,,,,,,,,,
MERSCOPE Homo sapiens Lung 数据集 (Cancer),MERSCOPE Homo sapiens Lung dataset (Cancer) - HumanLungCancerPatient1,15,13,-,-,Vizgen,https://vizgen.com/data-release-program/,MERFISH,Subcellular,Homo sapiens,Lung,Cancer,TBD,1,/data3/yangxr002/MERFISH/MERFISH_P013/,D015_HumanLungCancerPatient1,,Standard,,,,,,,,,,,,
MERSCOPE Homo sapiens Lung 数据集 (Cancer),MERSCOPE Homo sapiens Lung dataset (Cancer) - HumanLungCancerPatient2,16,13,-,-,Vizgen,https://vizgen.com/data-release-program/,MERFISH,Subcellular,Homo sapiens,Lung,Cancer,TBD,1,/data3/yangxr002/MERFISH/MERFISH_P013/,D016_HumanLungCancerPatient2,,Standard,,,,,,,,,,,,
MERSCOPE Homo sapiens Ovary 数据集 (Cancer),MERSCOPE Homo sapiens Ovary dataset (Cancer) - HumanOvarianCancerPatient1,17,14,-,-,Vizgen,https://vizgen.com/data-release-program/,MERFISH,Subcellular,Homo sapiens,Ovary,Cancer,TBD,1,/data3/yangxr002/MERFISH/MERFISH_P014/,D017_HumanOvarianCancerPatient1,,Standard,,,,,,,,,,,,
MERSCOPE Homo sapiens Ovary 数据集 (Cancer),MERSCOPE Homo sapiens Ovary dataset (Cancer) - HumanOvarianCancerPatient2Slice1,18,14,-,-,Vizgen,https://vizgen.com/data-release-program/,MERFISH,Subcellular,Homo sapiens,Ovary,Cancer,TBD,1,/data3/yangxr002/MERFISH/MERFISH_P014/,D018_HumanOvarianCancerPatient2Slice1,,Standard,,,,,,,,,,,,
MERSCOPE Homo sapiens Ovary 数据集 (Cancer),MERSCOPE Homo sapiens Ovary dataset (Cancer) - HumanOvarianCancerPatient2Slice2,19,14,-,-,Vizgen,https://vizgen.com/data-release-program/,MERFISH,Subcellular,Homo sapiens,Ovary,Cancer,TBD,1,/data3/yangxr002/MERFISH/MERFISH_P014/,D019_HumanOvarianCancerPatient2Slice2,,Standard,,,,,,,,,,,,
