info,info.1,Dataset_ID,Project_ID,PMID,Publication_DOI,Data_Source,Data_Source_Link,Technology_Platform,Spatial_Resolution_μm,Species,Tissue/Organ/Cell_Line,Disease_State,Data_Size,Data_Status,Local_Path,File_name,Notes,Record_Type,Merged_From_IDs,Gene_Panel_Size,Unique_Genes_Count,Gene_Coverage,Estimated_Cell_Count,Total_Transcripts,Mean_Transcripts_Per_Cell,Spatial_X_Span_px,Spatial_Y_Span_px,Tissue_Area_mm2,Transcript_Density_mm2,SCRIN_Standard_Path
Xenium Homo sapiens Bone_Marrow 数据集 (Cancer),Xenium Homo sapiens Bone_Marrow dataset (Cancer) - Xenium_V1_hBoneMarrow_acute_lymphoid_leukemia_section_outs,1,1,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Homo sapiens,Bone_Marrow,Cancer,TBD,1,/data3/yangxr002/Xenium/Xenium_P001/,Xenium_V1_hBoneMarrow_acute_lymphoid_leukemia_section_outs,,Standard,,,,,,,,,,,,
Xenium Homo sapiens Brain 数据集 (Alzheimer's),Xenium Homo sapiens Brain dataset (Alzheimer's) - Xenium_V1_FFPE_Human_Brain_Alzheimers_With_Addon_outs,2,2,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Homo sapiens,Brain,Alzheimer's,TBD,1,/data3/yangxr002/Xenium/Xenium_P002/,Xenium_V1_FFPE_Human_Brain_Alzheimers_With_Addon_outs,,Standard,,,,,,,,,,,,
Xenium Homo sapiens Brain 数据集 (Cancer),Xenium Homo sapiens Brain dataset (Cancer) - Xenium_V1_FFPE_Human_Brain_Glioblastoma_With_Addon_outs,3,3,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Homo sapiens,Brain,Cancer,TBD,1,/data3/yangxr002/Xenium/Xenium_P003/,Xenium_V1_FFPE_Human_Brain_Glioblastoma_With_Addon_outs,,Standard,,,,,,,,,,,,
Xenium Homo sapiens Brain 数据集 (Normal),Xenium Homo sapiens Brain dataset (Normal) - Xenium_V1_FFPE_Human_Brain_Healthy_With_Addon_outs,4,4,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Homo sapiens,Brain,Normal,TBD,1,/data3/yangxr002/Xenium/Xenium_P004/,Xenium_V1_FFPE_Human_Brain_Healthy_With_Addon_outs,,Standard,,,,,,,,,,,,
Xenium Homo sapiens Brain 数据集 (Cancer),Xenium Homo sapiens Brain dataset (Cancer) - Xenium_V1_Human_Brain_GBM_FFPE_outs,5,5,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Homo sapiens,Brain,Cancer,TBD,1,/data3/yangxr002/Xenium/Xenium_P005/,Xenium_V1_Human_Brain_GBM_FFPE_outs,,Standard,,,,,,,,,,,,
Xenium Homo sapiens Breast 数据集 (Cancer),Xenium Homo sapiens Breast dataset (Cancer) - Xenium_V1_FFPE_Human_Breast_IDC_With_Addon_outs,6,6,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Homo sapiens,Breast,Cancer,TBD,1,/data3/yangxr002/Xenium/Xenium_P006/,Xenium_V1_FFPE_Human_Breast_IDC_With_Addon_outs,,Standard,,,,,,,,,,,,
Xenium Homo sapiens Breast 数据集 (Cancer),Xenium Homo sapiens Breast dataset (Cancer) - Xenium_V1_FFPE_Human_Breast_IDC_outs,7,7,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Homo sapiens,Breast,Cancer,TBD,1,/data3/yangxr002/Xenium/Xenium_P007/,Xenium_V1_FFPE_Human_Breast_IDC_outs,,Standard,,,,,,,,,,,,
Xenium Homo sapiens Breast 数据集 (Cancer),Xenium Homo sapiens Breast dataset (Cancer) - Xenium_V1_FFPE_Human_Breast_ILC_With_Addon_outs,8,8,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Homo sapiens,Breast,Cancer,TBD,1,/data3/yangxr002/Xenium/Xenium_P008/,Xenium_V1_FFPE_Human_Breast_ILC_With_Addon_outs,,Standard,,,,,,,,,,,,
Xenium Homo sapiens Breast 数据集 (Cancer),Xenium Homo sapiens Breast dataset (Cancer) - Xenium_V1_FFPE_Human_Breast_ILC_outs,9,9,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Homo sapiens,Breast,Cancer,TBD,1,/data3/yangxr002/Xenium/Xenium_P009/,Xenium_V1_FFPE_Human_Breast_ILC_outs,,Standard,,,,,,,,,,,,
Xenium Homo sapiens Colon 数据集 (Cancer),Xenium Homo sapiens Colon dataset (Cancer) - Xenium_V1_Human_Colon_Cancer_P1_CRC_Add_on_FFPE_outs,10,10,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Homo sapiens,Colon,Cancer,TBD,1,/data3/yangxr002/Xenium/Xenium_P010/,Xenium_V1_Human_Colon_Cancer_P1_CRC_Add_on_FFPE_outs,,Standard,,,,,,,,,,,,
Xenium Homo sapiens Colon 数据集 (Cancer),Xenium Homo sapiens Colon dataset (Cancer) - Xenium_V1_Human_Colon_Cancer_P2_CRC_Add_on_FFPE_outs,11,11,-,-,10x Genomics,https://www.10xgenomics.com/products/xenium-in-situ/preview-dataset,Xenium,Subcellular,Homo sapiens,Colon,Cancer,TBD,1,/data3/yangxr002/Xenium/Xenium_P011/,Xenium_V1_Human_Colon_Cancer_P2_CRC_Add_on_FFPE_outs,,Standard,,,,,,,,,,,,
